2012,和田有真,KSGSSS山口,54.35,2012年08月28日(火)
2013,和田有真,KSGSSS山口,53.04,2013年08月30日(金)
2014,和田有真,山　口,53.51,2014年09月12日(金)
2015,和田有真,中京大,53.18,2015年04月11日(土)
2016,和田有真,山　口,53.38,2016年09月09日(金)
2017,和田有真,中京大,52.45,2017年04月16日(日)
2018,和田有真,茨城競対本部,52.33,2018年09月02日(日)
2019,和田有真,茨  城,52.79,2019年09月14日(土)
2009,平井健太,千    葉,55.81,2009年09月11日(金)
2010,平井健太,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,55.23,2011年01月30日(日)
2011,平井健太,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,53.15,2011年08月28日(日)
2012,平井健太,日本,53.48,2012年08月20日(月)
2013,平井健太,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,52.69,2013年04月14日(日)
2014,平井健太,明治大,52.27,2014年09月06日(土)
2015,平井健太,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,52.55,2015年04月12日(日)
2016,平井健太,明治大,53.48,2016年09月03日(土)
2017,平井健太,千　葉,52.21,2017年09月15日(金)
2018,平井健太,千　葉,53.05,2018年09月15日(土)
2010,坂井聖人,柳城,55.32,2010年08月23日(月)
2011,坂井聖人,柳川,54.15,2011年08月20日(土)
2012,坂井聖人,ＫＳＧ柳川,54.05,2013年01月19日(土)
2013,坂井聖人,柳川,53.46,2013年08月20日(火)
2014,坂井聖人,早稲田大,53.05,2014年09月06日(土)
2015,坂井聖人,早稲田大,52.52,2015年09月05日(土)
2016,坂井聖人,早稲田大,52.22,2016年09月03日(土)
2017,坂井聖人,早稲田大,52.44,2017年04月16日(日)
2018,坂井聖人,ＪＰＮ　Ｂ,52.76,2018年05月27日(日)
2019,坂井聖人,ＪＰＮ　Ｂ,53.38,2019年06月02日(日)
2020,坂井聖人,ＪＰＮ　Ｂ,55.39,2020年08月28日(金)
2022,坂井聖人,SEIKO,54.88,2022年06月05日(日)
2010,三好悠介,八幡浜ＳＣ,56.70,2010年06月06日(日)
2011,三好悠介,八幡浜ＳＣ,54.30,2012年01月21日(土)
2012,三好悠介,八幡浜,53.22,2012年05月27日(日)
2013,三好悠介,八幡浜,53.29,2013年08月20日(火)
2014,三好悠介,東洋大,52.79,2014年06月22日(日)
2015,三好悠介,東洋大,52.88,2015年09月05日(土)
2016,三好悠介,東洋大,53.04,2016年04月09日(土)
2017,三好悠介,東洋大,52.48,2017年09月02日(土)
2018,三好悠介,八幡浜ＳＣ,54.45,2019年02月10日(日)
2019,三好悠介,愛競対,53.30,2019年11月21日(木)
2020,三好悠介,愛競対,53.34,2020年12月06日(日)
2021,三好悠介,愛競対,53.34,2021年06月06日(日)
2008,藤井拓郎,KONAMI,51.28,2009年02月01日(日)
2009,藤井拓郎,KONAMI,51.48,2009年04月19日(日)
2010,藤井拓郎,ＪＡＰＡＮ,51.94,2010年04月16日(金)
2011,藤井拓郎,ＪＡＰＡＮ,51.84,2011年04月11日(月)
2012,藤井拓郎,ＪＡＰＡＮ,51.91,2012年04月08日(日)
2013,藤井拓郎,ＪＡＰＡＮ,52.23,2013年04月14日(日)
2014,藤井拓郎,ＪＡＰＡＮ,51.84,2014年04月13日(日)
