2017,寺本瑠美,神奈川大,29.52,2017年11月26日(日)
2018,寺本瑠美,神奈川大,28.80,2018年04月03日(火)
2010,稲田法子,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,28.64,2010年04月18日(日)
2011,稲田法子,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,28.57,2011年04月11日(月)
2013,稲田法子,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,28.78,2013年04月13日(土)
2014,稲田法子,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,28.42,2014年04月12日(土)
2015,稲田法子,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,28.29,2015年04月07日(火)
2017,稲田法子,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,28.46,2017年04月15日(土)
2008,竹迫麻澄,KL春日井,31.08,2008年07月06日(日)
2009,竹迫麻澄,中京大中京高,29.89,2009年07月04日(土)
2010,竹迫麻澄,中京大中京高,30.19,2010年07月03日(土)
2011,竹迫麻澄,中京大中京高,29.74,2011年07月09日(土)
2012,竹迫麻澄,山梨学院大,29.88,2012年07月07日(土)
2013,竹迫麻澄,山梨学院大,29.68,2013年08月04日(日)
2014,竹迫麻澄,山梨学院大,28.73,2014年04月12日(土)
2015,竹迫麻澄,山梨学院大,28.70,2015年04月07日(火)
2016,竹迫麻澄,ＳＷＡＮＳ,28.60,2016年05月22日(日)
2017,竹迫麻澄,ＳＷＡＮＳ,28.57,2017年04月15日(土)
2014,泉原凪沙,コナミ天王町,29.17,2015年02月22日(日)
2015,泉原凪沙,コナミ天王町,29.06,2015年05月24日(日)
2016,泉原凪沙,コナミ天王町,28.82,2017年02月19日(日)
2017,泉原凪沙,コナミ天王町,28.75,2017年04月15日(土)
2018,泉原凪沙,コナミ天王町,28.98,2018年04月22日(日)
2019,泉原凪沙,コナミ林間,29.38,2020年02月16日(日)
2021,泉原凪沙,ｺﾅﾐｽﾎﾟｰﾂ,28.99,2021年04月10日(土)
2012,安田広佳,SW大教二本松,30.73,2012年08月30日(木)
2014,安田広佳,橘,29.69,2014年07月26日(土)
2015,安田広佳,ﾋﾟｭｱ福島南,28.98,2015年05月24日(日)
2016,安田広佳,ﾋﾟｭｱ福島南,28.96,2016年05月22日(日)
2017,安田広佳,ﾌﾞﾘﾁﾞｽﾄﾝ東京,29.24,2017年05月21日(日)
2018,安田広佳,ﾌﾞﾘﾁﾞｽﾄﾝ東京,29.52,2018年04月03日(火)
2019,安田広佳,ﾌﾞﾘﾁﾞｽﾄﾝ東京,29.58,2019年06月01日(土)
2008,山口真旺,JSS宝塚,30.19,2008年08月27日(水)
2009,山口真旺,JSS宝塚,29.41,2009年08月30日(日)
2010,山口真旺,日本,29.44,2010年06月06日(日)
2011,山口真旺,日本,29.13,2011年05月22日(日)
2012,山口真旺,日本,29.50,2012年08月30日(木)
2013,山口真旺,日本,28.91,2013年05月26日(日)
2014,山口真旺,日本,28.98,2014年06月21日(土)
2015,山口真旺,日本,28.90,2015年04月07日(火)
2016,山口真旺,日本,29.03,2016年05月22日(日)
2017,山口真旺,日本,29.21,2017年05月21日(日)
2010,酒井志穂,ﾌﾞﾘﾁﾞｽﾄﾝ古賀,28.60,2010年04月18日(日)
2011,酒井志穂,ﾌﾞﾘﾁﾞｽﾄﾝ古賀,28.38,2011年04月11日(月)
2012,酒井志穂,ブリヂストン,28.87,2013年02月09日(土)
2014,酒井志穂,ミキハウス,29.18,2014年10月05日(日)
2015,酒井志穂,ミキハウス,28.56,2016年02月21日(日)
2008,福井友理菜,MYS名学院,30.29,2008年10月11日(土)
2009,福井友理菜,愛み大瑞穂高,30.48,2009年07月04日(土)
2010,福井友理菜,愛み大瑞穂,29.53,2010年08月30日(月)
2011,福井友理菜,愛み大瑞穂,29.94,2011年04月11日(月)
2012,福井友理菜,東海学園大,30.11,2012年07月07日(土)
2013,福井友理菜,東海学園大,30.46,2013年07月06日(土)
2014,福井友理菜,東海学園大,29.52,2014年06月21日(土)
2015,福井友理菜,東海学園大,28.68,2015年04月07日(火)
2008,赤瀬紗也香,SAｼﾎﾞｸﾁ,30.03,2008年08月30日(土)
2009,赤瀬紗也香,SA新城,29.75,2009年08月30日(日)
2010,赤瀬紗也香,ＳＡ新城,29.41,2010年06月06日(日)
2011,赤瀬紗也香,ＳＡ新城,29.28,2011年04月11日(月)
2013,赤瀬紗也香,日本体育大,28.91,2014年01月31日(金)
2014,赤瀬紗也香,日本体育大,29.00,2014年06月21日(土)
2015,赤瀬紗也香,日本体育大,28.94,2015年04月07日(火)
2016,赤瀬紗也香,日本体育大,29.17,2016年11月17日(木)
2017,赤瀬紗也香,ANAAS,29.45,2017年08月06日(日)
2018,赤瀬紗也香,ANAAS,28.86,2018年05月26日(土)
2019,赤瀬紗也香,ANAAS,29.16,2019年04月05日(金)
2021,赤瀬紗也香,ＡＮＡＡＳ,29.30,2021年06月05日(土)
2022,赤瀬紗也香,ＡＮＡＡＳ,29.72,2022年04月30日(土)
2008,寺村美穂,ｾﾝﾄﾗﾙ流山,31.44,2008年10月12日(日)
2010,寺村美穂,ｾﾝﾄﾗﾙ流山,30.20,2010年10月10日(日)
2014,寺村美穂,日本大,27.62,2014年09月22日(月)
2008,鍵矢遥菜,ﾁｬﾝﾋﾟｵﾝ,31.46,2008年08月30日(土)
2009,鍵矢遥菜,ﾁｬﾝﾋﾟｵﾝ,30.83,2010年02月21日(日)
2010,鍵矢遥菜,チャンピオン,29.91,2010年08月30日(月)
2011,鍵矢遥菜,チャンピオン,29.78,2011年05月22日(日)
2012,鍵矢遥菜,慶應義塾大,29.62,2012年05月27日(日)
2013,鍵矢遥菜,慶應義塾大,28.48,2013年05月26日(日)
2014,鍵矢遥菜,慶應義塾大,28.77,2014年04月12日(土)
2015,鍵矢遥菜,慶應義塾大,29.34,2015年04月07日(火)
2008,小林江舞,KONAMI西新井,30.14,2008年08月30日(土)
2009,小林江舞,KONAMI西新井,29.66,2009年08月30日(日)
2010,小林江舞,コナミ西新井,29.46,2010年08月30日(月)
2011,小林江舞,コナミ西葛西,29.13,2011年08月30日(火)
2012,小林江舞,コナミ西葛西,29.69,2013年01月20日(日)
2013,小林江舞,ＪＡＰＡＮ,29.13,2014年02月08日(土)
2014,小林江舞,ＪＡＰＡＮ,29.02,2014年06月21日(土)
2015,小林江舞,ＪＡＰＡＮ,29.07,2015年10月28日(水)
2016,小林江舞,ＪＡＰＡＮ,29.40,2016年05月22日(日)
2017,小林江舞,コナミ西葛西,30.39,2017年07月30日(日)
2018,小林江舞,コナミ西葛西,31.12,2018年07月29日(日)
2008,出川友理江,KONAMI東日本,30.04,2008年06月08日(日)
2009,出川友理江,京浜SS,30.15,2009年06月07日(日)
2010,出川友理江,早稲田大,29.40,2010年06月06日(日)
2011,出川友理江,ＳＡＴ雪ヶ谷,29.32,2011年05月22日(日)
2012,出川友理江,アピ株式会社,29.62,2012年05月27日(日)
2013,出川友理江,LtdおおがSS,29.46,2013年08月04日(日)
2014,出川友理江,おおがSS,29.05,2014年04月12日(土)
2015,出川友理江,おおがSS,28.95,2015年04月07日(火)
